iter	Passed	Remaining
0	1	152
1	3	163
2	5	161
3	6	156
4	7	151
5	9	146
6	12	169
7	14	166
8	16	163
9	17	161
10	19	157
11	21	155
12	22	152
13	24	150
14	27	153
15	29	153
16	30	150
17	32	147
18	34	145
19	35	142
20	37	140
21	38	137
22	40	135
23	44	140
24	45	137
25	47	135
26	48	132
27	50	130
28	52	127
29	53	124
30	55	122
31	57	123
32	59	121
33	61	119
34	62	116
35	64	114
36	65	111
37	67	109
38	68	107
39	70	105
40	72	104
41	74	103
42	76	101
43	77	99
44	80	97
45	81	95
46	82	93
47	84	91
48	85	89
49	89	89
50	90	87
51	92	85
52	94	83
53	95	81
54	97	79
55	98	77
56	100	75
57	101	73
58	103	72
59	105	70
60	107	68
61	108	66
62	110	64
63	111	62
64	113	61
65	115	59
66	118	58
67	119	56
68	121	54
69	122	52
70	124	50
71	125	48
72	127	47
73	129	45
74	131	43
75	133	42
76	135	40
77	136	38
78	137	36
79	139	34
80	140	32
81	142	31
82	143	29
83	153	29
84	154	27
85	157	25
86	159	23
87	160	21
88	163	20
89	165	18
90	166	16
91	168	14
92	169	12
93	171	10
94	172	9
95	174	7
96	178	5
97	180	3
98	183	1
99	185	0
